term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
accusations,0.12160592860792092,0.05,0.05000000110307937,0.05,0.05,0.05,0.05,4.884936345282928,0.05,0.05,0.05,0.05,0.05000000062758133,0.05,1.1434577240330017,0.05,1.050000000017781,0.05000000023665976,0.05,0.05000000006465614
achievement,0.050000019729170064,0.05,0.05,0.05,0.05,0.05,0.05,3.742123248162273,0.05,0.05,1.0062473067040372,0.05,0.05000000024398231,0.05,2.401629424945134,0.05,0.05,0.05,0.05,0.05000000019003451
act,3.33048913057655,1.5409917626378162,1.1430733425296102,0.05,0.05,0.05,0.05,4.295800471458427,0.05,0.20435290284494562,0.05000000011404294,0.05,4.37750584995252,0.05,4.570969745943015,0.05000000009809024,1.196476353897028,0.05000000160991484,0.05000000003674974,3.7903404382652313
action,2.075478519349611,2.817757417369175,2.742586739487362,0.05,0.05,1.547564988091898,0.05,3.039883717999684,0.05000000006351412,1.792674187478015,0.24892553062087264,0.05,2.846950863118267,2.015683386134071,6.026549037959572,0.050000000241201714,1.0698815882577908,0.050000079162925155,0.05000000002533154,8.376063944603295
actions,0.546969780632601,0.05000000072073323,0.05,0.05,0.05,0.05,0.05,0.8166728810959643,0.05,0.05000000071765974,1.9194111493923312,0.05,1.5596676471519921,1.0893053429111768,2.367973195540292,0.05000000160160639,0.05,0.05,0.05,0.050000000203641544
activity,0.05000000008352433,0.0500000006307218,0.7660502663546864,0.05,0.05,0.05,0.05,0.050013383857948436,0.05,0.050000000661358505,0.05000000043424713,0.05,2.0499941991625645,1.078692678904911,6.305249468010242,0.05,0.0500000002453481,0.05000000165113723,1.0499999997052292,0.05000000027551163
ad,0.05000000003107365,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000673265178,0.05,0.05,0.05000000051670165,0.05,0.05,0.05,1.0533544976440166,0.05,1.0499999994106837,0.05,0.05,6.046645495602129
addition,0.05,0.05001344669332577,0.05,0.05,0.05,0.05,0.05,3.8662554630462855,0.05,0.13381294140161992,3.7183866015851645,0.05,0.8765800952569652,0.05,2.498808838427599,0.0500000007226271,0.05,0.05000000010122604,0.05,0.20614261272198553
address,1.7303884354851418,0.05,0.05,0.05,0.050000037784827554,0.05,0.05,6.688004440081999,0.05,0.05,0.05,0.05,1.0499999999958651,0.05,1.1872396851568592,0.05,0.0500000002049677,0.05,0.05,0.5943674012479888
admiration,0.05000000010474742,2.04701386900988,0.05,0.05,0.05,1.6276698256144884,0.05,3.3000759017669123,0.050000000490421206,0.8978474932132358,0.05000000004426561,0.05,0.05000000042460014,0.05,1.217439164097478,0.05,1.0921022454858789,0.05,0.05,1.1678514997112255
